Partlist; ; Christmas Village Project
Part; Value; Package; Library; Position (mil); Orientation

C1; 2u2; CAP-1206; ipc-7351-capacitor; (1880 1340); R90
C2; 2u2; CAP-1206; ipc-7351-capacitor; (1880 1150); R270
C3; 100n; CAP-0603; ipc-7351-capacitor; (2920 700); R0
C4; 100n; CAP-0603; ipc-7351-capacitor; (3260 1390); R90
C5; 100n; CAP-0603; ipc-7351-capacitor; (2260 900); R180
C6; ; CAP-0603; ipc-7351-capacitor; (2340 1250); R0
C7; ; CAP-0603; ipc-7351-capacitor; (2540 710); R180
C8; 1u; CAP-1206; ipc-7351-capacitor; (2560 515); R0
C9; 1u; CAP-1206; ipc-7351-capacitor; (2580 295); R0
C10; 100n; CAP-0603; ipc-7351-capacitor; (3110 90); R0
C11; 100n; CAP-0603; ipc-7351-capacitor; (1920 970); R270
C12; 560pF; CAP-0603; ipc-7351-capacitor; (1910 610); R90
C13; 56nF; CAP-0603; ipc-7351-capacitor; (2130 1020); R90
CN1; MJ-180SMT; MJ-180SMT; con-Multicomp; (80 1330); R0
CN2-PROG; JST-6PSPI-SIDE-S6B; 6P-H; avr-6; (3150 1420); R180
CN3-SERIAL; JST-4PSIDE-S4B; 4P-H; Connector-2mm; (2590 1420); R180
CN5-LEDSTRIPS; HDR_2X10_SIDE-MOUNT; 20PIN-10TOP-10BOT; con-SideHeader; (3620 1440); R270
D1; BP104-SMD-REV; BR104SMDREV; Vishay; (1660 380); R270
D2; ; MINIMELF; diode; (2080 1390); R0
D3; 9V1; SOT23; diode; (2380 390); R180
IC1; UA78M05DCY; SOT223; linear; (2110 1210); R270
IC2; LM358D; SO08; linear4; (2050 800); R0
IC3; LM358D; SO08; linear4; (2870 525); R270
IC4; LM358D; SO08; linear4; (2870 205); R90
IC5; ATTINY-4/5/9/10; SOT23-6; avr-6; (2180 1060); R270
IC6; TINY2313/4313; SO20; avr-6; (2960 1090); R270
POT1; ; HDR-1x3; con-hdrs40; (2040 460); R0
Q1; Si2309CD; SOT95P280X135-3N; ipc-7351-transistor; (3590 1540); R0
Q2; NX7002AKW; SOT323R; ZeroCross Project; (3310 1560); R270
Q3; NX7002AKW; SOT323R; ZeroCross Project; (3470 1420); R270
Q4; NX7002AKW; SOT323R; ZeroCross Project; (3470 1330); R270
Q5; NX7002AKW; SOT323R; ZeroCross Project; (3470 1240); R270
Q6; NX7002AKW; SOT323R; ZeroCross Project; (3470 1140); R270
Q7; NX7002AKW; SOT323R; ZeroCross Project; (3470 1040); R270
Q8; NX7002AKW; SOT323R; ZeroCross Project; (3470 940); R270
Q9; NX7002AKW; SOT323R; ZeroCross Project; (3470 840); R270
Q10; NX7002AKW; SOT323R; ZeroCross Project; (3470 740); R270
Q11; NX7002AKW; SOT323R; ZeroCross Project; (3470 640); R270
Q12; NX7002AKW; SOT323R; ZeroCross Project; (3470 540); R270
R1; 10M; RES-0603; ipc-7351-resistor; (1995 630); R180
R2; 10k; RES-0603; ipc-7351-resistor; (1900 810); R90
R3; 100k; RES-0603; ipc-7351-resistor; (2040 1010); R180
R4; 10k; RES-0603; ipc-7351-resistor; (3490 1540); R90
R5; 10k; RES-0603; ipc-7351-resistor; (3410 1580); R0
R6; 10k; RES-0603; ipc-7351-resistor; (2680 475); R270
R7; 99k; RES-0603; ipc-7351-resistor; (2660 185); R270
R8; 1k; RES-0603; ipc-7351-resistor; (2640 395); R180
R9; 500k; RES-0603; ipc-7351-resistor; (2730 335); R180
R10; 10k; RES-0603; ipc-7351-resistor; (3080 170); R90
R11; 10k; RES-0603; ipc-7351-resistor; (3080 290); R90
R12; 1M; RES-0603; ipc-7351-resistor; (2380 210); R90
SW1; POWER; HDR-1x3; con-hdrs40; (2040 1550); R0
SW2; NIGHT-MODE; HDR-1x3; con-hdrs40; (2040 210); R0
X1; 7.3728MHz; SM49; crystal; (2440 980); R90
